"","playerID","seasons"
"121","avilemi01",11
"122","axforjo01",14
"123","ayalabe01",10
"124","ayalalu01",12
"125","aybarer01",13
"126","aybarma01",10
"127","ayersdo01",10
"128","azcuejo01",15
"129","backmwa01",14
"130","baergca01",16
"131","baezda01",11
"132","baezja01",10
"133","bagbyji02",10
"134","bagweje01",15
"135","bahnsst01",19
"136","bailebi01",12
"137","bailebo01",18
"138","baileed01",16
"139","baileho02",15
"140","bailobo01",11
"141","baineha01",27
"142","bairddo01",10
"143","bairdo01",18
"144","bakerdu01",19
"145","bakerfl01",15
"146","bakerfr01",13
"147","bakerje03",14
"148","bakersc02",10
"149","bakopa01",14
"150","balbost01",12
"151","baldwja01",14
"152","balfogr01",13
"153","bancrda01",17
"154","bandoch01",10
"155","bandosa01",16
"156","bankhsc01",10
"157","bankser01",19
"158","bankswi01",12
"159","bannial01",14
"160","bannifl01",15
"161","barajro01",15
"162","barbest01",18
"163","bardjo01",11
"164","barfije01",13
"165","barkele01",12
"166","barmecl01",13
"167","barneda01",10
"168","barneja01",10
"169","barneje01",14
"170","barnevi01",10
"171","barrebi02",11
"172","barreji01",10
"173","barrema02",10
"174","barremi01",13
"175","barrere01",12
"176","barrji01",12
"177","barryja01",12
"178","barrysh01",15
"179","bartedi01",19
"180","bartlja01",10
"181","bartobo01",10
"182","bassan01",12
"183","bassech01",10
"184","basske01",16
"185","bastaan01",10
"186","bastich01",10
"187","batemjo01",11
"188","batesjo02",12
"189","batismi01",21
"190","batisto01",13
"191","batteea01",13
"192","battijo01",12
"193","battsma01",12
"194","bauerha01",14
"195","bauertr01",11
"196","baumafr01",11
"197","baumhfr01",11
"198","bautida01",14
"199","bautide01",10
"200","bautijo01",10
"201","bautijo02",21
"202","bayja01",13
"203","baylodo01",20
"204","beaucji01",12
"205","beaumgi01",12
"206","beckbo01",13
"207","beckebe01",10
"208","beckegl01",11
"209","beckejo02",15
"210","beckeri01",11
"211","beckhgo01",13
"212","becklja01",22
"213","beckro01",14
"214","bedarer01",12
"215","bedroca01",10
"216","bedrost01",15
"217","beggsjo01",10
"218","beimejo01",14
"219","belanma01",18
"220","belchti01",15
"221","belinst01",14
"222","belisma01",16
"223","bellbu01",20
"224","bellda01",16
"225","bellde01",11
"226","belleal01",12
"227","bellga01",14
"228","bellge02",12
"229","bellgu01",16
"230","bellhe01",11
"231","bellhma01",12
"232","bellira01",17
"233","belliro01",15
"234","bellja01",18
"235","beltbr01",12
"236","beltrad01",21
"237","beltrca01",23
"238","benchjo01",17
"239","bendech01",16
"240","benedbr01",12
"241","benesan01",15
"242","bengera01",13
"243","bengobe01",10
"244","beniqju01",18
"245","benitar01",18
"246","benjami01",13
"247","bennech01",15
"248","bennega01",15
"249","benoijo01",18
"250","bensokr01",10
"251","bentlja01",10
"252","bentoal01",14
"253","bentola01",15
"254","bentoru01",16
"255","benzito01",10
"256","berarjo01",13
"257","bereja01",14
"258","berenju01",17
"259","bergebi01",11
"260","bergewa01",14
