"","playerID","Player","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","PrimaryTeam","PrimaryLg","all_star","gold_glove","lou_gehrig_memorial_award","most_valuable_player","tsn_player_of_the_year","hutch_award","silver_slugger","hank_aaron_award","rookie_of_the_year","baseball_magazine_all_star","tsn_major_league_player_of_the_year","alcs_mvp","all_star_game_mvp","babe_ruth_award","nlcs_mvp","roberto_clemente_award","world_series_mvp","comeback_player_of_the_year","branch_rickey_award","triple_crown","outstanding_dh_award","wein","votedBy","AVG","OBP","1B","SLG","Steroids","nice_guy_awards","war","all_stars","Pos"
"48","bellbu01","Buddy Bell",2405,8995,1151,2514,425,56,201,1106,55,79,836,776,84,38,60,80,255,"TEX","AL",5,6,1,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.279,0.338,1832,0.406,"0",1,66.3,5,"3B"
"49","belleal01","Albert Belle",1539,5853,974,1726,389,21,381,1239,88,41,683,961,91,55,4,78,193,"CLE","AL",5,0,0,0,0,0,5,0,"0",0,1,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.295,0.369,935,0.564,"0",0,40.1,5,"LF"
"50","bellge02","George Bell",1587,6123,814,1702,308,34,265,1002,67,36,331,771,53,49,0,83,165,"TOR","AL",3,0,0,1,1,0,3,0,"0",0,1,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.278,0.316,1095,0.469,"0",0,20,3,"LF"
"51","bellja01","Jay Bell",2063,7398,1123,1963,394,67,195,860,91,60,853,1443,25,57,159,58,165,"PIT","NL",2,1,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.265,0.337,1307,0.416,"0",0,37.1,2,"SS"
"52","benchjo01","Johnny Bench",2158,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,19,11,90,201,"CIN","NL",14,10,1,2,1,1,0,0,"1",0,1,0,0,1,0,0,1,0,0,0,NA,"1","BBWAA",0.267,0.341,1254,0.476,"0",2,75.1,14,"C"
"53","bennech01","Charlie Bennett",1062,3821,549,978,203,67,55,533,NA,NA,478,572,NA,NA,NA,NA,NA,"DTN","NL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","Veterans",0.256,NA,653,0.387,"0",0,38.8,0,"C"
"54","bergewa01","Wally Berger",1350,5163,809,1550,299,59,242,898,36,NA,435,694,NA,38,27,NA,NA,"BSN","NL",6,0,0,0,0,0,0,0,"0",2,0,0,0,0,0,0,0,0,0,0,NA,"0","BBWAA",0.3,0.357,950,0.522,"0",0,42.5,4,"CF"
"55","bergmo01","Moe Berg",663,1813,150,441,71,6,6,206,11,5,78,117,NA,9,61,NA,NA,"BOS","AL",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","BBWAA",0.243,0.269,358,0.299,"0",0,-4.6,0,"C"
"56","berkmla01","Lance Berkman",1879,6491,1146,1905,422,30,366,1234,86,48,1201,1300,160,66,1,54,147,"HOU","NL",6,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,0,0,NA,"0","BBWAA",0.293,0.406,1087,0.537,"0",0,51.9,6,"1B"
"57","berrayo01","Yogi Berra",2120,7555,1175,2150,321,49,358,1430,30,26,704,414,NA,52,9,NA,146,"NYA","AL",18,0,0,3,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,NA,"1","BBWAA",0.285,0.349,1422,0.482,"0",0,59.4,18,"C"
