"","Player","birthCountry","playerID","MedianIP","weight","height","throws","Censored","PrimaryPitch","numDaysUntilTJ","Fast_Off"
"280","Drew Pomeranz","USA","pomerdr01",69,246,77,"L","Censored","4seamFastball",NA,"Fastball"
"281","Drew Rucinski","USA","rucindr01",7.15,190,74,"R","Censored","Cutter",NA,"Fastball"
"282","Drew Smith","USA","smithdr01",34.65,192,73,"R","Non-Censored","4seamFastball",262,"Fastball"
"283","Drew Smyly","USA","smylydr01",76,190,74,"L","Non-Censored","Sinker",1911,"Fastball"
"284","Drew Storen","USA","storedr01",55,200,73,"R","Non-Censored","Slider",2689,"Offspeed"
"285","Drey Jameson","USA","jamesdr01",24.3,165,72,"R","Non-Censored","4seamFastball",NA,"Fastball"
"286","Dustin May","USA","maydu01",32.35,180,78,"R","Non-Censored","Sinker",649,"Fastball"
"287","Dylan Bundy","USA","bundydy01",124.85,225,73,"R","Non-Censored","4seamFastball",277,"Fastball"
"288","Dylan Coleman","USA","colemdy01",37.15,230,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"289","Dylan Covey","USA","coveydy01",64.35,215,73,"R","Censored","Sinker",NA,"Fastball"
"290","Dylan Floro","USA","florody01",32,203,74,"R","Non-Censored","Sinker",NA,"Fastball"
"291","Dylan Lee","USA","leedy01",26.35,214,75,"L","Non-Censored","Slider",NA,"Offspeed"
"292","Eddie Butler","USA","butleed01",43.35,180,74,"R","Censored","4seamFastball",NA,"Fastball"
"293","Edgar Santana","D.R.","santaed01",42.7,205,74,"R","Non-Censored","Sinker",481,"Fastball"
"294","Edinson Volquez","D.R.","volqued01",77.5,220,72,"R","Non-Censored","Sinker",4357,"Fastball"
"295","Edinson Volquez","D.R.","volqued01",77.5,220,72,"R","Non-Censored","Sinker",1434,"Fastball"
"296","Eduardo Paredes","Venezuela","pareded01",20.3,250,73,"R","Censored","4seamFastball",NA,"Fastball"
"297","Eduardo Rodriguez","Venezuela","rodried05",129.7,231,74,"L","Non-Censored","4seamFastball",NA,"Fastball"
"298","Edubray Ramos","Venezuela","ramosed02",41.35,232,72,"R","Censored","Slider",NA,"Offspeed"
"299","Edward Cabrera","D.R.","cabreed02",49,217,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"300","Edwin Jackson","Germany","jacksed01",73.3,215,74,"R","Censored","4seamFastball",NA,"Fastball"
"301","Edwin Uceta","D.R.","ucetaed01",18.65,155,72,"R","Censored","Sinker",NA,"Fastball"
"302","Eli Morgan","USA","morgael01",78,190,70,"R","Non-Censored","4seamFastball",NA,"Fastball"
"303","Elieser Hernandez","Venezuela","hernael01",62.3,214,72,"R","Non-Censored","4seamFastball",NA,"Fastball"
"304","Elvin Rodriguez","D.R.","rodriel02",29.7,160,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"305","Elvis Luciano","D.R.","luciael01",33.7,210,75,"R","Censored","4seamFastball",NA,"Fastball"
"306","Elvis Peguero","D.R.","pegueel01",9.8,208,77,"R","Censored","Slider",NA,"Offspeed"
"307","Emmanuel Clase","D.R.","claseem01",69.7,206,74,"R","Non-Censored","Cutter",NA,"Fastball"
"308","Enny Romero","D.R.","romeren01",4.7,232,75,"L","Censored","4seamFastball",NA,"Fastball"
"309","Enoli Paredes","D.R.","pareden01",8.7,171,71,"R","Censored","4seamFastball",NA,"Fastball"
"310","Enyel De Los Santos","D.R.","delosen01",19,235,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"311","Eric Lauer","USA","lauerer01",118.7,228,75,"L","Non-Censored","4seamFastball",NA,"Fastball"
"312","Eric O'Flaherty","USA","oflaher01",21.3,210,74,"L","Non-Censored","Sinker",2470,"Fastball"
"313","Eric Skoglund","USA","skogler01",21,215,79,"L","Censored","4seamFastball",NA,"Fastball"
"314","Eric Stout","USA","stouter01",3.7,205,75,"L","Non-Censored","Slider",NA,"Offspeed"
"315","Eric Yardley","USA","yardler01",18.7,170,72,"R","Censored","Sinker",NA,"Fastball"
"316","Erich Uelmen","USA","uelmeer01",27,210,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"317","Erik Swanson","USA","swanser01",44.5,222,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"318","Ervin Santana","D.R.","santaer01",179.65,175,74,"R","Censored","Slider",NA,"Offspeed"
"319","Evan Marshall","USA","marshev01",19,235,74,"R","Non-Censored","Change-up",2758,"Offspeed"
"320","Evan Phillips","USA","phillev01",10.3,215,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"321","Fernando Abad","D.R.","abadfe01",34,235,74,"L","Censored","Sinker",NA,"Fastball"
"322","Fernando Cruz","P.R.","cruzfe01",14.7,205,74,"R","Non-Censored","Slider",NA,"Offspeed"
"323","Fernando Rodney","D.R.","rodnefe01",43.7,240,71,"R","Non-Censored","Sinker",726,"Fastball"
"324","Fernando Salas","Mexico","salasfe01",42.5,200,74,"R","Censored","4seamFastball",NA,"Fastball"
"325","Framber Valdez","D.R.","valdefr01",70.7,239,71,"L","Non-Censored","Sinker",NA,"Fastball"
"326","Francis Martes","D.R.","martefr01",54.3,249,72,"R","Non-Censored","4seamFastball",432,"Fastball"
"327","Francisco Liriano","D.R.","liriafr01",113.7,220,75,"L","Non-Censored","Sinker",427,"Fastball"
"328","Frankie Montas","D.R.","montafr01",59,255,74,"R","Non-Censored","Sinker",NA,"Fastball"
"329","Freddy Peralta","D.R.","peralfr01",78.3,199,71,"R","Non-Censored","4seamFastball",NA,"Fastball"
"330","Gabriel Moya","Venezuela","moyaga01",21.3,225,72,"L","Censored","Change-up",NA,"Offspeed"
"331","Gabriel Ynoa","D.R.","ynoaga01",34.7,205,74,"R","Censored","Slider",NA,"Offspeed"
"332","Garrett Cleavinger","USA","cleavga01",11.15,220,73,"L","Non-Censored","4seamFastball",NA,"Fastball"
"333","Garrett Crochet","USA","crochga01",30.15,230,78,"L","Non-Censored","4seamFastball",564,"Fastball"
"334","Garrett Richards","USA","richaga01",61.15,210,74,"R","Non-Censored","4seamFastball",2540,"Fastball"
"335","Geoff Hartlieb","USA","hartlge01",13.5,240,77,"R","Censored","Sinker",NA,"Fastball"
"336","George Kirby","USA","kirbyge01",130,215,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"337","Gerardo Reyes","Mexico","reyesge01",14,195,71,"R","Non-Censored","4seamFastball",706,"Fastball"
"338","Gerrit Cole","USA","colege01",190.8,220,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"339","Glenn Otto","USA","ottogl01",79.5,240,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"340","Graham Ashcraft","USA","ashcrgr01",105,240,74,"R","Non-Censored","Cutter",NA,"Fastball"
"341","Grant Dayton","USA","daytogr01",23.7,210,74,"L","Non-Censored","4seamFastball",403,"Fastball"
"342","Greg Holland","USA","hollagr01",44.7,210,70,"R","Non-Censored","Slider",1887,"Offspeed"
"343","Gregory Soto","D.R.","sotogr01",59,234,73,"L","Non-Censored","Sinker",NA,"Fastball"
"344","Griffin Canning","USA","cannigr01",62.7,180,74,"R","Censored","4seamFastball",NA,"Fastball"
"345","Griffin Jax","USA","jaxgr01",77.15,195,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"346","Hansel Robles","D.R.","robleha01",40.15,220,72,"R","Censored","4seamFastball",NA,"Fastball"
"347","Hayden Wesneski","USA","wesneha01",33,210,75,"R","Non-Censored","Slider",NA,"Offspeed"
"348","Heath Fillmyer","USA","fillmhe01",52.3,195,73,"R","Censored","4seamFastball",NA,"Fastball"
"349","Heath Hembree","USA","hembrhe01",16.3,220,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"350","Hirokazu Sawamura","Japan","sawamhi01",51.85,212,72,"R","Censored","4seamFastball",NA,"Fastball"
"351","Hisashi Iwakuma","Japan","iwakuhi01",154.35,210,75,"R","Censored","Cutter",NA,"Fastball"
"352","Hoby Milner","USA","milneho01",13.3,175,75,"L","Non-Censored","4seamFastball",NA,"Fastball"
"353","Homer Bailey","USA","baileho02",91,223,76,"R","Non-Censored","4seamFastball",2891,"Fastball"
"354","Huascar Brazoban","D.R.","brazohu01",32,155,75,"R","Non-Censored","Cutter",NA,"Fastball"
"355","Huascar Ynoa","D.R.","ynoahu01",14.2,220,74,"R","Non-Censored","Slider",1179,"Offspeed"
"356","Humberto Castellanos","Mexico","castehu01",44.3,222,71,"R","Non-Censored","Sinker",734,"Fastball"
"357","Hunter Brown","USA","brownhu01",20.3,212,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"358","Hunter Wood","USA","woodhu01",16.3,175,73,"R","Censored","4seamFastball",NA,"Fastball"
"359","Hyun Jin Ryu","South Korea","ryuhy01",126.7,250,75,"L","Censored","4seamFastball",NA,"Fastball"
"360","Ian Anderson","USA","anderia01",111.7,170,75,"R","Censored","4seamFastball",NA,"Fastball"
"361","Ian Gibaut","USA","gibauia01",9.5,250,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"362","Ian Kennedy","USA","kenneia01",91.5,210,72,"R","Non-Censored","4seamFastball",NA,"Fastball"
"363","Ian Krol","USA","krolia01",28,210,73,"L","Censored","Slider",NA,"Offspeed"
"364","Jack Flaherty","USA","flaheja01",59.3,225,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"365","Jackson Kowar","USA","kowarja01",23,200,77,"R","Censored","4seamFastball",NA,"Fastball"
"366","Jackson Stephens","USA","stephja01",38.3,220,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"367","Jackson Tetreault","USA","tetreja01",21,189,77,"R","Censored","4seamFastball",NA,"Fastball"
"368","Jacob Barnes","USA","barneja01",19.2,231,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"369","Jacob Lemoine","USA","lemoija01",16.3,220,77,"R","Censored","Sinker",NA,"Fastball"
"370","Jacob Nix","USA","nixja02",42.3,220,76,"R","Non-Censored","4seamFastball",934,"Fastball"
"371","Jacob Rhame","USA","rhameja01",9,215,73,"R","Censored","4seamFastball",NA,"Fastball"
"372","Jacob Turner","USA","turneja01",29.7,215,77,"R","Censored","Sinker",NA,"Fastball"
"373","Jacob Waguespack","USA","wagueja01",47.85,235,78,"R","Censored","4seamFastball",NA,"Fastball"
"374","Jake Arrieta","USA","arrieja01",117,230,76,"R","Censored","Sinker",NA,"Fastball"
"375","Jake Barrett","USA","barreja01",17,240,76,"R","Censored","4seamFastball",NA,"Fastball"
"376","Jake Bird","USA","birdja01",47.7,200,75,"R","Non-Censored","Sinker",NA,"Fastball"
"377","Jake Brentz","USA","brentja01",34.65,205,73,"L","Non-Censored","4seamFastball",474,"Fastball"
"378","Jake Cousins","USA","cousija01",21.65,185,76,"R","Non-Censored","Slider",NA,"Offspeed"
"379","Jake Diekman","USA","diekmja01",36.7,195,76,"L","Non-Censored","4seamFastball",NA,"Fastball"
"380","Jake Faria","USA","fariaja01",32.7,230,76,"R","Censored","4seamFastball",NA,"Fastball"
"381","Jake Jewell","USA","jewelja01",10,217,74,"R","Censored","4seamFastball",NA,"Fastball"
"382","Jake Newberry","USA","newbeja01",17.65,200,74,"R","Censored","4seamFastball",NA,"Fastball"
"383","Jake Odorizzi","USA","odorija01",124,190,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"384","Jake Petricka","USA","petrija01",22.5,218,76,"R","Censored","Sinker",NA,"Fastball"
"385","Jake Reed","USA","reedja02",5.3,197,74,"R","Non-Censored","Sinker",NA,"Fastball"
"386","Jake Thompson","USA","thompja03",46.3,225,76,"R","Non-Censored","4seamFastball",998,"Fastball"
"387","Jake Woodford","USA","woodfja01",48.3,215,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"388","Jakob Junis","USA","junisja01",105.15,220,75,"R","Non-Censored","Slider",NA,"Offspeed"
"389","Jalen Beeks","USA","beeksja01",44.3,200,71,"L","Non-Censored","4seamFastball",818,"Fastball"
"390","James Hoyt","USA","hoytja01",11.5,230,78,"R","Censored","Slider",NA,"Offspeed"
"391","James Karinchak","USA","karinja01",33,215,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"392","James Norwood","USA","norwoja01",9.3,215,74,"R","Censored","4seamFastball",NA,"Fastball"
"393","James Paxton","CAN","paxtoja01",74,227,76,"L","Non-Censored","4seamFastball",2776,"Fastball"
"394","James Pazos","USA","pazosja01",7.8,252,74,"L","Censored","Sinker",NA,"Fastball"
"395","James Shields","USA","shielja02",209.85,210,75,"R","Censored","4seamFastball",NA,"Fastball"
"396","Jameson Taillon","USA","taillja01",139,230,77,"R","Non-Censored","4seamFastball",1161,"Fastball"
"397","Jandel Gustave","D.R.","gustaja01",18.3,220,75,"R","Non-Censored","Sinker",314,"Fastball"
"398","Jared Hughes","USA","hugheja02",59.3,240,79,"R","Censored","Sinker",NA,"Fastball"
"399","Jared Koenig","USA","koenija01",39.3,245,77,"L","Non-Censored","Sinker",NA,"Fastball"
"400","Jarred Cosart","USA","cosarja01",60,206,75,"R","Censored","Sinker",NA,"Fastball"
"401","Jason Adam","USA","adamja01",21.7,229,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"402","Jason Grilli","USA","grillja01",29.7,235,77,"R","Non-Censored","4seamFastball",600,"Fastball"
"403","Jason Hammel","USA","hammeja01",133.15,225,78,"R","Censored","Slider",NA,"Offspeed"
"404","Jason Motte","USA","motteja01",48.3,205,72,"R","Non-Censored","Cutter",1706,"Fastball"
"405","Jason Vargas","USA","vargaja01",92,215,72,"L","Non-Censored","Sinker",3674,"Fastball"
"406","Javier Assad","Mexico","assadja01",37.7,200,73,"R","Non-Censored","Sinker",NA,"Fastball"
"407","Jay Jackson","USA","jacksja01",13,195,73,"R","Censored","Slider",NA,"Offspeed"
"408","Jeff Beliveau","USA","belivje01",10.2,190,73,"L","Censored","4seamFastball",NA,"Fastball"
"409","Jeff Locke","USA","lockeje01",127.3,200,72,"L","Censored","Sinker",NA,"Fastball"
"410","Jeff Samardzija","USA","samarje01",109.85,233,76,"R","Censored","Sinker",NA,"Fastball"
"411","Jeffrey Springs","USA","sprinje01",32.3,218,75,"L","Non-Censored","4seamFastball",NA,"Fastball"
"412","Jefry Rodriguez","D.R.","rodrije01",46.7,230,78,"R","Censored","4seamFastball",NA,"Fastball"
"413","Jerad Eickhoff","USA","eickhje01",51,246,76,"R","Censored","4seamFastball",NA,"Fastball"
"414","Jered Weaver","USA","weaveje02",177.35,210,79,"R","Censored","4seamFastball",NA,"Fastball"
"415","Jeremy Beasley","USA","beaslje01",9.3,235,74,"R","Censored","4seamFastball",NA,"Fastball"
"416","Jeremy Hellickson","USA","hellije01",112.3,190,73,"R","Censored","Sinker",NA,"Fastball"
"417","Jeremy Jeffress","USA","jeffrje01",24,205,72,"R","Censored","Sinker",NA,"Fastball"
"418","Jerry Blevins","USA","blevije01",42,182,76,"L","Censored","4seamFastball",NA,"Fastball"
"419","Jesen Therrien","CAN","therrje01",18.3,221,75,"R","Non-Censored","Slider",52,"Offspeed"
"420","Jesse Chavez","USA","chaveje01",36.7,175,73,"R","Non-Censored","Cutter",NA,"Fastball"
"421","Jesus Tinoco","Venezuela","tinocje01",5,258,76,"R","Non-Censored","Sinker",NA,"Fastball"
"422","Jeurys Familia","D.R.","familje01",34,240,75,"R","Non-Censored","Sinker",NA,"Fastball"
"423","Jharel Cotton","V.I.","cottojh01",30.7,200,71,"R","Non-Censored","4seamFastball",560,"Fastball"
"424","Jhoan Duran","D.R.","duranjh01",67.7,230,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"425","Jim Johnson","USA","johnsji04",56.7,250,78,"R","Censored","Sinker",NA,"Fastball"
"426","Jimmy Cordero","D.R.","cordeji01",22.85,240,76,"R","Non-Censored","Sinker",959,"Fastball"
"427","Jimmy Herget","USA","hergeji01",14.7,170,75,"R","Non-Censored","Slider",NA,"Offspeed"
"428","Jimmy Nelson","USA","nelsoji02",69.3,250,78,"R","Non-Censored","4seamFastball",2886,"Fastball"
"429","Jimmy Yacabonis","USA","yacabji01",15,225,75,"R","Non-Censored","Sinker",NA,"Fastball"
"430","Joakim Soria","Mexico","soriajo01",39.85,205,75,"R","Non-Censored","4seamFastball",1825,"Fastball"
"431","Joan Adon","D.R.","adonjo01",35,246,74,"R","Censored","4seamFastball",NA,"Fastball"
"432","Joe Barlow","USA","barlojo01",32,210,74,"R","Non-Censored","Slider",NA,"Offspeed"
"433","Joe Blanton","USA","blantjo01",103.5,225,75,"R","Censored","Slider",NA,"Offspeed"
"434","Joe Kelly","USA","kellyjo05",54.65,174,73,"R","Non-Censored","Curveball",NA,"Offspeed"
"435","Joe Mantiply","USA","mantijo01",3,219,76,"L","Non-Censored","Sinker",552,"Fastball"
"436","Joe Musgrove","USA","musgrjo01",115.3,230,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"437","Joe Ross","USA","rossjo01",75.2,232,76,"R","Non-Censored","Sinker",2561,"Fastball"
"438","Joe Ross","USA","rossjo01",75.2,232,76,"R","Non-Censored","Sinker",774,"Fastball"
"439","Joe Ryan","USA","ryanjo04",86.85,205,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"440","Joe Smith","USA","smithjo05",38.85,211,74,"R","Censored","Sinker",NA,"Fastball"
"441","Joel Kuhnel","USA","kuhnejo01",9.7,280,76,"R","Non-Censored","Slider",NA,"Offspeed"
"442","Joel Payamps","D.R.","payamjo01",16.65,225,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"443","Joey Krehbiel","USA","krehbjo01",5.15,240,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"444","Joey Lucchesi","USA","lucchjo01",84.15,225,77,"L","Non-Censored","Sinker",1182,"Fastball"
"445","Johan Oviedo","Cuba","oviedjo01",28,245,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"446","John Axford","CAN","axforjo01",47.35,234,77,"R","Non-Censored","Sinker",4369,"Fastball"
"447","John Brebbia","USA","brebbjo01",51.7,200,73,"R","Non-Censored","4seamFastball",1107,"Fastball"
"448","John Curtiss","USA","curtijo02",7.5,220,77,"R","Non-Censored","4seamFastball",1468,"Fastball"
"449","John Gant","USA","gantjo01",50,200,76,"R","Censored","Sinker",NA,"Fastball"
"450","John Lackey","USA","lackejo01",188.8,235,78,"R","Non-Censored","4seamFastball",3417,"Fastball"
"451","John Means","USA","meansjo01",43.7,235,75,"L","Non-Censored","4seamFastball",1309,"Fastball"
"452","John Schreiber","USA","schrejo01",14.35,210,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"453","Johnny Barbato","USA","barbajo01",13,231,73,"R","Censored","Sinker",NA,"Fastball"
"454","Johnny Cueto","D.R.","cuetojo01",151.65,229,71,"R","Non-Censored","4seamFastball",3773,"Fastball"
"455","JoJo Romero","USA","romerjo01",9.85,200,72,"L","Non-Censored","Change-up",277,"Offspeed"
"456","Jon Duplantier","USA","duplajo01",24.85,229,76,"R","Censored","4seamFastball",NA,"Fastball"
"457","Jon Gray","USA","grayjo02",138.15,225,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"458","Jon Lester","USA","lestejo01",181.2,249,76,"L","Censored","4seamFastball",NA,"Fastball"
"459","Jonathan Broxton","USA","broxtjo01",36.2,285,76,"R","Censored","4seamFastball",NA,"Fastball"
"460","Jonathan Heasley","USA","heasljo01",59.35,225,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"461","Jonathan Holder","USA","holdejo02",39.3,232,74,"R","Censored","4seamFastball",NA,"Fastball"
"462","Jonny Venters","USA","ventejo01",20.3,200,75,"L","Non-Censored","Sinker",1614,"Fastball"
"463","Jonny Venters","USA","ventejo01",20.3,200,75,"L","Non-Censored","Sinker",1125,"Fastball"
"464","Jordan Hicks","USA","hicksjo03",45,220,74,"R","Non-Censored","Sinker",454,"Fastball"
"465","Jordan Lyles","USA","lylesjo01",71.3,230,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"466","Jordan Montgomery","USA","montgjo01",63.7,228,78,"L","Non-Censored","Sinker",421,"Fastball"
"467","Jordan Weems","USA","weemsjo01",9.15,209,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"468","Jordan Yamamoto","USA","yamamjo01",11.3,201,71,"R","Censored","4seamFastball",NA,"Fastball"
"469","Jordan Zimmermann","USA","zimmejo02",131.3,225,74,"R","Non-Censored","4seamFastball",121,"Fastball"
"470","Jorge Alcala","D.R.","alcaljo01",13.15,205,75,"R","Censored","Slider",NA,"Offspeed"
"471","Jorge De La Rosa","Mexico","delarjo01",59,215,73,"L","Non-Censored","4seamFastball",2484,"Fastball"
"472","Jose Alvarez","Venezuela","alvarjo02",53,195,71,"L","Non-Censored","Sinker",3370,"Fastball"
"473","Jose Cuas","D.R.","cuasjo01",37.7,195,75,"R","Non-Censored","Sinker",NA,"Fastball"
"474","Jose Marte","D.R.","martejo01",7.5,180,75,"R","Non-Censored","Cutter",NA,"Fastball"
"475","Jose Rodriguez","Venezuela","rodrijo06",10.7,210,74,"R","Censored","4seamFastball",NA,"Fastball"
"476","Josh Collmenter","USA","collmjo01",91.15,240,75,"R","Censored","Cutter",NA,"Fastball"
"477","Josh Edgin","USA","edginjo01",27.3,245,73,"L","Non-Censored","4seamFastball",977,"Fastball"
"478","Josh Fields","USA","fieldjo03",41,191,72,"R","Censored","4seamFastball",NA,"Fastball"
"479","Josh Fleming","USA","flemijo01",35,220,74,"L","Non-Censored","Sinker",NA,"Fastball"
"480","Josh Hader","USA","haderjo01",47.7,180,75,"L","Non-Censored","Sinker",NA,"Fastball"
"481","Josh James","USA","jamesjo02",20.15,234,75,"R","Censored","4seamFastball",NA,"Fastball"
"482","Josh Lindblom","USA","lindbjo01",26.5,240,76,"R","Censored","4seamFastball",NA,"Fastball"
"483","Josh Ravin","USA","ravinjo01",9.5,215,76,"R","Censored","4seamFastball",NA,"Fastball"
"484","Josh Rogers","USA","rogerjo01",20.3,211,75,"L","Non-Censored","4seamFastball",309,"Fastball"
"485","Josh Sborz","USA","sborzjo01",15.65,215,75,"R","Censored","4seamFastball",NA,"Fastball"
"486","Josh Smoker","USA","smokejo01",10.5,232,73,"L","Censored","4seamFastball",NA,"Fastball"
"487","Josh Staumont","USA","staumjo01",31.7,200,75,"R","Censored","4seamFastball",NA,"Fastball"
"488","Josh Taylor","USA","taylojo02",47.3,245,77,"L","Censored","Slider",NA,"Offspeed"
"489","Josh Tomlin","USA","tomlijo01",76.15,190,73,"R","Non-Censored","Cutter",757,"Fastball"
"490","Josh Winckowski","USA","winckjo01",70.3,202,76,"R","Non-Censored","Sinker",NA,"Fastball"
"491","Josh Winder","USA","windejo01",67,210,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"492","Josiah Gray","USA","grayjo03",62.7,199,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"493","Jovani Moran","P.R.","moranjo01",24.35,167,73,"L","Non-Censored","4seamFastball",NA,"Fastball"
"494","JP Sears","USA","searsjp01",35,180,71,"L","Non-Censored","4seamFastball",NA,"Fastball"
"495","JT Brubaker","USA","brubajt01",124.3,185,75,"R","Non-Censored","Sinker",NA,"Fastball"
"496","Juan Minaya","D.R.","minayju01",33.85,210,76,"R","Censored","4seamFastball",NA,"Fastball"
"497","Juan Nicasio","D.R.","nicasju01",58.15,250,76,"R","Censored","4seamFastball",NA,"Fastball"
"498","Julio Teheran","Colombia","teherju01",175.7,205,74,"R","Censored","4seamFastball",NA,"Fastball"
"499","Junichi Tazawa","Japan","tazawju01",46.85,200,71,"R","Non-Censored","4seamFastball",242,"Fastball"
"500","Junior Guerra","Venezuela","guerrju02",70.3,235,72,"R","Censored","4seamFastball",NA,"Fastball"
"501","Justin Anderson","USA","anderju01",51.15,230,75,"R","Non-Censored","Slider",821,"Offspeed"
"502","Justin Dunn","USA","dunnju01",38.35,185,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"503","Justin Grimm","USA","grimmju01",15.3,210,75,"R","Censored","4seamFastball",NA,"Fastball"
"504","Justin Haley","USA","haleyju01",12.85,230,77,"R","Censored","4seamFastball",NA,"Fastball"
"505","Justin Lawrence","Panama","lawreju01",29.7,213,75,"R","Non-Censored","Sinker",NA,"Fastball"
"506","Justin Nicolino","USA","nicolju01",74,195,75,"L","Censored","4seamFastball",NA,"Fastball"
"507","Justin Shafer","USA","shafeju01",8.3,205,74,"R","Censored","4seamFastball",NA,"Fastball"
"508","Justin Verlander","USA","verlaju01",203.85,235,77,"R","Non-Censored","4seamFastball",5567,"Fastball"
"509","Justin Wilson","USA","wilsoju10",39,205,74,"L","Non-Censored","4seamFastball",3574,"Fastball"
"510","Justus Sheffield","USA","sheffju01",36,224,70,"L","Non-Censored","Slider",NA,"Offspeed"
"511","Kaleb Ort","USA","ortka01",14.3,240,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"512","Kazuhisa Makita","Japan","makitka01",35,181,70,"R","Censored","4seamFastball",NA,"Fastball"
"513","Keegan Akin","USA","akinke01",81.7,235,71,"L","Non-Censored","4seamFastball",NA,"Fastball"
"514","Kelvin Herrera","D.R.","herreke01",58.3,220,70,"R","Censored","4seamFastball",NA,"Fastball"
"515","Ken Giles","USA","gileske01",45.7,197,75,"R","Non-Censored","4seamFastball",2302,"Fastball"
"516","Ken Waldichuk","USA","waldike01",34.7,220,76,"L","Non-Censored","4seamFastball",NA,"Fastball"
"517","Kendall Graveman","USA","graveke01",34.3,200,74,"R","Non-Censored","Sinker",1424,"Fastball"
"518","Kenley Jansen","Curacao","janseke01",65,265,77,"R","Non-Censored","Cutter",NA,"Fastball"
"519","Kenta Maeda","Japan","maedake01",129.8,185,73,"R","Censored","Slider",NA,"Offspeed"
"520","Keone Kela","USA","kelake01",31.85,220,73,"R","Non-Censored","4seamFastball",2234,"Fastball"
"521","Kevin Gausman","USA","gausmke01",112.8,205,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"522","Kevin Ginkel","USA","ginkeke01",26.3,235,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"523","Kevin Jepsen","USA","jepseke01",33.35,235,75,"R","Censored","4seamFastball",NA,"Fastball"
"524","Kevin McCarthy","USA","mccarke01",45,210,75,"R","Censored","Sinker",NA,"Fastball"
"525","Kevin Quackenbush","USA","quackke01",40.3,235,76,"R","Censored","4seamFastball",NA,"Fastball"
"526","Kevin Shackelford","USA","shackke01",19.35,210,77,"R","Non-Censored","Slider",344,"Offspeed"
"527","Kevin Siegrist","USA","siegrke01",37,230,77,"L","Censored","4seamFastball",NA,"Fastball"
"528","Keynan Middleton","USA","middlke01",17.35,215,75,"R","Non-Censored","4seamFastball",382,"Fastball"
"529","Kirby Snead","USA","sneadki01",26.2,218,73,"L","Non-Censored","Sinker",NA,"Fastball"
"530","Kirby Yates","USA","yateski01",36,205,70,"R","Non-Censored","4seamFastball",2482,"Fastball"
"531","Kirk McCarty","USA","mccarki01",37.7,185,68,"L","Non-Censored","Cutter",NA,"Fastball"
"532","Kohei Arihara","Japan","arihako01",30.35,210,74,"R","Non-Censored","Sinker",NA,"Fastball"
"533","Kohl Stewart","USA","stewako01",25.3,200,75,"R","Censored","Sinker",NA,"Fastball"
"534","Koji Uehara","Japan","ueharko01",45.5,195,74,"R","Censored","4seamFastball",NA,"Fastball"
"535","Kolby Allard","USA","allarko01",33.7,195,73,"L","Non-Censored","4seamFastball",NA,"Fastball"
"536","Konnor Pilkington","USA","pilkiko01",58,240,75,"L","Non-Censored","4seamFastball",NA,"Fastball"
"537","Kris Bubic","USA","bubickr01",129,225,75,"L","Non-Censored","4seamFastball",NA,"Fastball"
"538","Kyle Barraclough","USA","barraky01",25,229,75,"R","Censored","4seamFastball",NA,"Fastball"
"539","Kyle Bradish","USA","bradiky01",117.7,220,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"540","Kyle Crick","USA","crickky01",28.3,225,76,"R","Censored","Slider",NA,"Offspeed"
