"","Player","birthCountry","playerID","MedianIP","weight","height","throws","Censored","PrimaryPitch","numDaysUntilTJ","Fast_Off"
"782","Seth Frankoff","USA","frankse01",2.7,206,77,"R","Censored","4seamFastball",NA,"Fastball"
"783","Seth Lugo","USA","lugose01",65,233,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"784","Seth Martinez","USA","martise01",20.85,200,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"785","Seunghwan Oh","South Korea","ohse01",47,205,70,"R","Censored","4seamFastball",NA,"Fastball"
"786","Shane Baz","USA","bazsh01",20.15,190,74,"R","Non-Censored","4seamFastball",373,"Fastball"
"787","Shane Bieber","USA","biebesh01",114.7,200,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"788","Shane Carle","USA","carlesh01",9.3,210,76,"R","Censored","4seamFastball",NA,"Fastball"
"789","Shaun Anderson","USA","andersh01",9.35,228,78,"R","Censored","Slider",NA,"Offspeed"
"790","Shawn Armstrong","USA","armstsh01",15,225,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"791","Shawn Kelley","USA","kellesh01",45.15,237,74,"R","Non-Censored","4seamFastball",509,"Fastball"
"792","Shelby Miller","USA","millesh01",22,225,75,"R","Non-Censored","4seamFastball",1708,"Fastball"
"793","Shohei Ohtani","Japan","ohtansh01",91,210,76,"R","Non-Censored","4seamFastball",186,"Fastball"
"794","Shun Yamaguchi","Japan","yamagsh01",25.7,225,74,"R","Censored","4seamFastball",NA,"Fastball"
"795","Silvino Bracho","Venezuela","brachsi01",16.5,190,70,"R","Non-Censored","4seamFastball",1291,"Fastball"
"796","Simon Castro","D.R.","castrsi01",10.3,230,77,"R","Non-Censored","4seamFastball",180,"Fastball"
"797","Sonny Gray","USA","grayso01",119.7,195,70,"R","Non-Censored","Sinker",NA,"Fastball"
"798","Spencer Howard","USA","howarsp01",26.3,210,75,"R","Censored","4seamFastball",NA,"Fastball"
"799","Spencer Patton","USA","pattosp01",21.3,200,73,"R","Censored","4seamFastball",NA,"Fastball"
"800","Spencer Turnbull","USA","turnbsp01",53.35,210,75,"R","Non-Censored","4seamFastball",1049,"Fastball"
"801","Spenser Watkins","USA","watkisp01",80,185,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"802","Stefan Crichton","USA","crichst01",24.65,208,75,"R","Censored","Sinker",NA,"Fastball"
"803","Stephen Gonsalves","USA","gonsast01",14.5,215,77,"L","Censored","4seamFastball",NA,"Fastball"
"804","Stephen Nogosek","USA","nogosst01",6.7,201,73,"R","Non-Censored","4seamFastball",NA,"Fastball"
"805","Stephen Strasburg","USA","strasst01",130,239,77,"R","Non-Censored","4seamFastball",87,"Fastball"
"806","Stephen Tarpley","USA","tarplst01",10,202,72,"L","Censored","Slider",NA,"Offspeed"
"807","Steve Cishek","USA","cishest01",63.7,220,78,"R","Non-Censored","Sinker",NA,"Fastball"
"808","Steven Brault","USA","braulst01",34.7,195,72,"L","Censored","4seamFastball",NA,"Fastball"
"809","Steven Okert","USA","okertst01",27,202,74,"L","Non-Censored","Slider",NA,"Offspeed"
"810","Steven Wright","USA","wrighst01",24,215,74,"R","Non-Censored","Curveball",2373,"Offspeed"
"811","Taijuan Walker","USA","walketa01",38,253,76,"R","Non-Censored","4seamFastball",1699,"Fastball"
"812","Tanner Anderson","USA","anderta01",11.3,203,74,"R","Censored","Sinker",NA,"Fastball"
"813","Tanner Banks","USA","banksta01",53,210,73,"L","Non-Censored","4seamFastball",NA,"Fastball"
"814","Tanner Houck","USA","houckta01",60,230,77,"R","Censored","Slider",NA,"Offspeed"
"815","Tanner Rainey","USA","raineta01",30,244,74,"R","Non-Censored","4seamFastball",1576,"Fastball"
"816","Tanner Roark","USA","roarkta01",110.65,238,74,"R","Censored","Sinker",NA,"Fastball"
"817","Tanner Scott","USA","scottta01",39.8,235,72,"L","Non-Censored","4seamFastball",NA,"Fastball"
"818","Tayler Saucedo","USA","sauceta01",14.2,205,76,"L","Censored","Sinker",NA,"Fastball"
"819","Tayler Scott","South Africa","scottta02",8.7,185,75,"R","Censored","Slider",NA,"Offspeed"
"820","Taylor Cole","USA","coleta01",36,200,73,"R","Censored","4seamFastball",NA,"Fastball"
"821","Taylor Hearn","USA","hearnta01",58.65,230,78,"L","Non-Censored","4seamFastball",NA,"Fastball"
"822","Taylor Rogers","USA","rogerta01",48.5,190,75,"L","Non-Censored","Sinker",NA,"Fastball"
"823","Taylor Widener","USA","widenta01",20,203,72,"R","Non-Censored","4seamFastball",NA,"Fastball"
"824","Tayron Guerrero","Colombia","guerrta01",46,225,80,"R","Censored","4seamFastball",NA,"Fastball"
"825","Tejay Antone","USA","antonte01",34.5,230,76,"R","Non-Censored","Sinker",396,"Fastball"
"826","Thomas Eshelman","USA","eshelto01",34.7,225,74,"R","Censored","Sinker",NA,"Fastball"
"827","Thomas Hatch","USA","hatchto01",9.3,195,73,"R","Censored","4seamFastball",NA,"Fastball"
"828","Thomas Pannone","USA","pannoth01",58,205,73,"L","Censored","4seamFastball",NA,"Fastball"
"829","Thyago Vieira","Brazil","vieirth01",7,210,74,"R","Censored","4seamFastball",NA,"Fastball"
"830","Tim Adleman","USA","adlemti01",96,225,77,"R","Censored","4seamFastball",NA,"Fastball"
"831","Tim Collins","USA","colliti01",38,166,67,"L","Non-Censored","4seamFastball",1842,"Fastball"
"832","Tim Collins","USA","colliti01",38,166,67,"L","Non-Censored","4seamFastball",1441,"Fastball"
"833","Tim Hill","USA","hillti01",45.7,200,76,"L","Non-Censored","Sinker",NA,"Fastball"
"834","Tim Mayza","USA","mayzati01",48.7,213,75,"L","Non-Censored","Sinker",764,"Fastball"
"835","Tim Peterson","USA","peterti01",17.5,215,73,"R","Censored","4seamFastball",NA,"Fastball"
"836","Tom Koehler","USA","koehlto01",143,235,74,"R","Censored","4seamFastball",NA,"Fastball"
"837","Tom Wilhelmsen","USA","wilheto01",45.85,220,78,"R","Censored","4seamFastball",NA,"Fastball"
"838","Tommy Henry","USA","henryto01",47,205,75,"L","Non-Censored","4seamFastball",NA,"Fastball"
"839","Tommy Hunter","USA","hunteto02",34.7,250,75,"R","Non-Censored","Cutter",NA,"Fastball"
"840","Tommy Kahnle","USA","kahnlto01",27.3,230,73,"R","Non-Censored","4seamFastball",2315,"Fastball"
"841","Tommy Milone","USA","milonto01",27.3,215,72,"L","Censored","4seamFastball",NA,"Fastball"
"842","Tony Barnette","USA","barneto01",41.8,190,73,"R","Censored","Cutter",NA,"Fastball"
"843","Tony Cingrani","USA","cingrto01",28.3,217,76,"L","Censored","4seamFastball",NA,"Fastball"
"844","Tony Gonsolin","USA","gonsoto01",51.2,205,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"845","Tony Santillan","USA","santito01",31.5,240,75,"R","Censored","Slider",NA,"Offspeed"
"846","Tony Watson","USA","watsoto01",53.3,224,75,"L","Censored","Sinker",NA,"Fastball"
"847","Tony Zych","USA","zychto01",18.3,190,75,"R","Censored","Slider",NA,"Offspeed"
"848","Touki Toussaint","USA","toussto01",29,215,75,"R","Non-Censored","Sinker",NA,"Fastball"
"849","Travis Wood","USA","woodtr01",102.7,175,71,"L","Censored","4seamFastball",NA,"Fastball"
"850","Trent Thornton","USA","thorntr01",47.5,190,72,"R","Non-Censored","4seamFastball",NA,"Fastball"
"851","Trevor Bauer","USA","bauertr01",153,205,73,"R","Censored","4seamFastball",NA,"Fastball"
"852","Trevor Cahill","USA","cahiltr01",102.3,223,76,"R","Censored","Sinker",NA,"Fastball"
"853","Trevor Gott","USA","gotttr01",19,182,70,"R","Non-Censored","4seamFastball",NA,"Fastball"
"854","Trevor Hildenberger","USA","hildetr01",29.15,205,74,"R","Censored","Sinker",NA,"Fastball"
"855","Trevor Kelley","USA","kelletr01",8.3,210,74,"R","Non-Censored","Sinker",NA,"Fastball"
"856","Trevor May","USA","maytr01",44.2,248,76,"R","Non-Censored","4seamFastball",956,"Fastball"
"857","Trevor Richards","USA","richatr01",32.35,205,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"858","Trevor Rogers","USA","rogertr01",107,217,77,"L","Non-Censored","4seamFastball",NA,"Fastball"
"859","Trevor Rosenthal","USA","rosentr01",31.5,230,74,"R","Non-Censored","4seamFastball",1869,"Fastball"
"860","Trevor Stephan","USA","stephtr01",63.5,225,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"861","Trevor Williams","USA","willitr01",74.2,232,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"862","Trey Wingenter","USA","wingetr01",35,237,79,"R","Non-Censored","4seamFastball",710,"Fastball"
"863","Triston McKenzie","USA","mckentr01",120,165,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"864","Troy Scribner","USA","scribtr01",13.7,190,75,"R","Censored","4seamFastball",NA,"Fastball"
"865","Tucker Davidson","USA","davidtu01",17.65,215,74,"L","Non-Censored","4seamFastball",NA,"Fastball"
"866","Ty Blach","USA","blachty01",32.5,215,73,"L","Non-Censored","Sinker",1409,"Fastball"
"867","Ty Buttrey","USA","buttrty01",26.3,240,78,"R","Censored","4seamFastball",NA,"Fastball"
"868","Tyler Alexander","USA","alexaty01",77.35,203,74,"L","Non-Censored","4seamFastball",NA,"Fastball"
"869","Tyler Anderson","USA","anderty01",94.65,220,74,"L","Non-Censored","4seamFastball",NA,"Fastball"
"870","Tyler Beede","USA","beedety01",9.7,216,74,"R","Non-Censored","4seamFastball",710,"Fastball"
"871","Tyler Chatwood","USA","chatwty01",76.7,200,71,"R","Non-Censored","Sinker",1199,"Fastball"
"872","Tyler Clippard","USA","clippty01",37,200,75,"R","Censored","Change-up",NA,"Offspeed"
"873","Tyler Cloyd","USA","cloydty01",25.35,210,75,"R","Non-Censored","Sinker",1349,"Fastball"
"874","Tyler Danish","USA","danisty01",5.65,200,72,"R","Non-Censored","Curveball",NA,"Offspeed"
"875","Tyler Duffey","USA","duffety01",57.85,220,75,"R","Censored","Curveball",NA,"Offspeed"
"876","Tyler Gilbert","USA","gilbety01",37.15,223,75,"L","Censored","Cutter",NA,"Fastball"
"877","Tyler Glasnow","USA","glasnty01",56.65,225,80,"R","Non-Censored","4seamFastball",1854,"Fastball"
"878","Tyler Kinley","USA","kinlety01",23.85,220,76,"R","Censored","Slider",NA,"Offspeed"
"879","Tyler Lyons","USA","lyonsty01",36.7,210,74,"L","Censored","Slider",NA,"Offspeed"
"880","Tyler Mahle","USA","mahlety01",104.3,210,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"881","Tyler Matzek","USA","matzety01",43.7,230,75,"L","Non-Censored","4seamFastball",3045,"Fastball"
"882","Tyler Olson","USA","olsonty01",20,205,75,"L","Censored","Curveball",NA,"Offspeed"
"883","Tyler Pill","USA","pillty01",22,200,74,"R","Censored","Sinker",NA,"Fastball"
"884","Tyler Rogers","USA","rogerty01",51.85,181,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"885","Tyler Skaggs","USA","skaggty01",79.7,225,76,"L","Non-Censored","4seamFastball",721,"Fastball"
"886","Tyler Thornburg","USA","thornty01",23,190,71,"R","Non-Censored","4seamFastball",3013,"Fastball"
"887","Tyler Wilson","USA","wilsoty01",36,185,74,"R","Censored","4seamFastball",NA,"Fastball"
"888","Tyler Zuber","USA","zuberty01",24.65,175,71,"R","Censored","4seamFastball",NA,"Fastball"
"889","Tylor Megill","USA","megilty01",68.5,241,79,"R","Non-Censored","4seamFastball",NA,"Fastball"
"890","Tyson Ross","USA","rossty01",49,254,77,"R","Censored","4seamFastball",NA,"Fastball"
"891","Vance Worley","USA","worleva01",79.2,240,74,"R","Censored","Sinker",NA,"Fastball"
"892","Vince Velasquez","USA","velasvi01",75.3,212,75,"R","Non-Censored","4seamFastball",NA,"Fastball"
"893","Vladimir Gutierrez","Cuba","gutievl01",75.35,190,73,"R","Non-Censored","4seamFastball",418,"Fastball"
"894","Wade Davis","USA","daviswa01",65.3,225,77,"R","Censored","4seamFastball",NA,"Fastball"
"895","Wade LeBlanc","USA","leblawa01",44.3,195,74,"L","Censored","Change-up",NA,"Offspeed"
"896","Wade Miley","USA","mileywa01",157.3,220,74,"L","Non-Censored","Cutter",NA,"Fastball"
"897","Walker Buehler","USA","buehlwa01",101.15,185,74,"R","Non-Censored","4seamFastball",1811,"Fastball"
"898","Walker Lockett","USA","lockean01",11.65,225,77,"R","Censored","4seamFastball",NA,"Fastball"
"899","Wander Suero","D.R.","suerowa01",45.2,216,76,"R","Censored","Cutter",NA,"Fastball"
"900","Wandy Peralta","D.R.","peralwa01",34,227,72,"L","Non-Censored","Change-up",NA,"Offspeed"
"901","Warwick Saupold","Australia","saupowa01",34.3,223,74,"R","Censored","4seamFastball",NA,"Fastball"
"902","Wes Parsons","USA","parsowe01",15.3,206,77,"R","Censored","Sinker",NA,"Fastball"
"903","Will Smith","USA","smithwi04",45,255,77,"L","Non-Censored","4seamFastball",1770,"Fastball"
"904","William Cuevas","Venezuela","cuevawi01",5,215,74,"R","Censored","4seamFastball",NA,"Fastball"
"905","Williams Jerez","D.R.","jerezwi01",6.7,210,76,"L","Censored","4seamFastball",NA,"Fastball"
"906","Wyatt Mills","USA","millswy01",12.7,214,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"907","Yency Almonte","USA","almonye01",34,223,77,"R","Non-Censored","4seamFastball",NA,"Fastball"
"908","Yennier Cano","Cuba","canoye01",9,185,76,"R","Non-Censored","Sinker",NA,"Fastball"
"909","Yimi Garcia","D.R.","garciyi01",22.3,230,73,"R","Non-Censored","4seamFastball",785,"Fastball"
"910","Yohan Ramirez","D.R.","ramiryo01",20.7,212,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"911","Yonny Chirinos","Venezuela","chiriyo01",50.5,225,74,"R","Non-Censored","Sinker",877,"Fastball"
"912","Yoshihisa Hirano","Japan","hiranyo01",53,185,73,"R","Censored","4seamFastball",NA,"Fastball"
"913","Yovani Gallardo","Mexico","gallayo01",180.7,205,74,"R","Censored","4seamFastball",NA,"Fastball"
"914","Yu Darvish","Japan","darviyu01",144.3,220,77,"R","Non-Censored","Cutter",1072,"Fastball"
"915","Yunior Marte","D.R.","marteyu01",48,180,74,"R","Non-Censored","Slider",NA,"Offspeed"
"916","Yusei Kikuchi","Japan","kikucyu01",128.85,205,72,"L","Non-Censored","4seamFastball",NA,"Fastball"
"917","Yusmeiro Petit","Venezuela","petityu01",69,252,73,"R","Censored","4seamFastball",NA,"Fastball"
"918","Zac Curtis","USA","curtiza01",6.7,190,69,"L","Censored","4seamFastball",NA,"Fastball"
"919","Zac Gallen","USA","galleza01",72,189,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"920","Zac Grotz","USA","grotzza01",12.3,195,74,"R","Censored","Splitter",NA,"Offspeed"
"921","Zac Lowther","USA","lowthza01",17.5,235,74,"L","Censored","4seamFastball",NA,"Fastball"
"922","Zac Rosscup","USA","rosscza01",6.85,220,74,"L","Censored","Slider",NA,"Offspeed"
"923","Zach Davies","USA","davieza01",141.15,180,72,"R","Non-Censored","Sinker",NA,"Fastball"
"924","Zach Duke","USA","dukeza01",48.2,210,74,"L","Non-Censored","Sinker",4115,"Fastball"
"925","Zach Eflin","USA","eflinza01",75.7,220,78,"R","Non-Censored","Sinker",NA,"Fastball"
"926","Zach Logue","USA","logueza01",57,165,72,"L","Non-Censored","4seamFastball",NA,"Fastball"
"927","Zach McAllister","USA","mcallza01",62,240,78,"R","Censored","4seamFastball",NA,"Fastball"
"928","Zach Thompson","USA","thompza01",98.35,250,79,"R","Non-Censored","Cutter",NA,"Fastball"
"929","Zack Britton","USA","brittza01",40,200,73,"L","Non-Censored","Sinker",NA,"Fastball"
"930","Zack Godley","USA","godleza01",55.7,250,75,"R","Censored","Curveball",NA,"Offspeed"
"931","Zack Greinke","USA","greinza01",171,200,74,"R","Non-Censored","4seamFastball",NA,"Fastball"
"932","Zack Littell","USA","litteza01",37,220,76,"R","Non-Censored","4seamFastball",NA,"Fastball"
"933","Zack Thompson","USA","thompza02",34.7,215,74,"L","Non-Censored","4seamFastball",NA,"Fastball"
"934","Zack Wheeler","USA","wheelza01",167.65,195,76,"R","Non-Censored","4seamFastball",645,"Fastball"
