"","playerID","seasons"
"96","bengera01",13
"97","benitar01",18
"98","benoijo01",18
"99","bensokr01",10
"100","bentlja01",10
"101","bentoal01",14
"102","bentola01",15
"103","bentoru01",16
"104","bereja01",14
"105","berenju01",17
"106","bernhbi01",10
"107","betande01",10
"108","betanra01",13
"109","bettshu01",10
"110","bibbyji01",14
"111","bielemi01",15
"112","billija01",14
"113","birddo01",12
"114","blackbu02",17
"115","blackew01",11
"116","blaehge01",12
"117","blairwi01",13
"118","blakesh01",12
"119","blantjo01",16
"120","blasiwa01",12
"121","blassst01",10
"122","blevije01",13
"123","bluevi01",17
"124","blylebe01",24
"125","boddimi01",15
"126","boehrbr01",11
"127","boevejo01",14
"128","bohanbr01",13
"129","bolinbo01",14
"130","bondeje01",10
"131","bondto01",11
"132","bonesri01",13
"133","bonhabi01",10
"134","bonhati01",10
"135","borbope01",13
"136","borbope02",10
"137","borlato02",10
"138","borowha01",13
"139","borowjo01",14
"140","bosioch01",11
"141","boskish01",11
"142","bosmadi01",13
"143","bottari01",12
"144","botteke01",12
"145","boutoji01",11
"146","bowmajo01",12
"147","boxbebr01",11
"148","boydoi01",11
"149","boyerbl01",14
"150","brachbr01",13
"151","bradfch01",13
"152","brancra01",14
"153","branded01",11
"154","brantje01",14
"155","braxtga01",12
"156","brazlal01",10
"157","brechha01",12
"158","breitte01",11
"159","breslcr01",16
"160","brettke01",17
"161","breweji01",18
"162","bridgto01",16
"163","brilene01",15
"164","brittza01",13
"165","brocado01",15
"166","brosnji01",12
"167","broweji01",12
"168","brownbu01",11
"169","browncl01",15
"170","brownha01",16
"171","brownju01",13
"172","brownke01",19
"173","brownll01",13
"174","brownma01",11
"175","brownmo01",15
"176","brownto05",12
"177","broxtjo01",16
"178","brunege01",19
"179","brusswa01",10
"180","buchhcl01",13
"181","buehrma01",16
"182","buffich01",11
"183","buhlbo01",17
"184","bumgama01",14
"185","bunniji01",18
"186","burbada01",18
"187","burdele01",21
"188","burgmto01",17
"189","burkebo01",10
"190","burkejo03",16
"191","burketi01",10
"192","burneaj01",17
"193","burnese01",10
"194","burrira01",17
"195","bushgu01",18
"196","bushjo01",19
"197","butchma01",12
"198","buzhajo01",13
"199","byerlbu01",12
"200","byrdati01",12
"201","byrdpa01",17
"202","byrneto01",15
"203","cadargr01",14
"204","cadorle01",11
"205","cahiltr01",15
"206","cainma01",13
"207","caldwmi01",15
"208","caldwra02",13
"209","camacer01",11
"210","camniho01",12
"211","campbbi02",15
"212","campsh01",11
"213","candejo01",23
"214","candito01",18
"215","cantwbe01",13
"216","capuach01",13
"217","cardwdo01",16
"218","carlsha01",15
"219","carltst01",27
"220","carmado01",10
"221","carmofa01",12
"222","carpech01",15
"223","carraca01",13
"224","carragi01",11
"225","carrahe01",14
"226","carrocl02",17
"227","carroow01",11
"228","carseki01",12
"229","caseyhu01",10
"230","cashnan01",12
"231","casiala01",11
"232","castege01",13
"233","castifr01",14
"234","castito02",13
"235","castrbi01",10
"236","castrmi01",10
"237","cecilbr01",10
"238","cedenxa01",12
"239","chacijh01",16
"240","chacosh01",10
"241","chafian01",11
"242","chakabo01",10
"243","chambel01",12
"244","chambjo03",11
"245","chancde01",12
"246","chandsp01",11
"247","chapmar01",14
"248","charlno01",15
"249","chatwty01",11
"250","chaveje01",21
"251","chenbr01",22
"252","chenela01",12
"253","chesbja01",12
"254","chipmbo01",13
"255","choatra01",16
"256","chrisja01",14
"257","chrisla01",11
"258","cicoted01",15
"259","cishest01",15
"260","clancji01",16
"261","clarkjo01",13
"262","clarkma01",11
"263","clarkwa02",14
"264","clearma01",11
"265","clemepa01",10
"266","clemero02",24
"267","clevere01",14
"268","clippty01",20
"269","clonito01",13
"270","coaklan01",10
"271","coateji01",10
"272","cobbal01",11
"273","coffmdi01",16
"274","cokeph01",11
"275","colboji01",11
"276","colege01",10
"277","colemjo04",11
"278","colemjo05",18
"279","colliri01",11
"280","colluja01",12
"281","colomal01",11
"282","colomje01",11
"283","colonba01",23
"284","coneda01",19
"285","conlege01",11
"286","connasa01",12
"287","consusa01",11
"288","contrjo01",13
"289","cookaa01",11
"290","cookde01",19
"291","coombja01",14
"292","coopemo01",13
"293","coopewi01",16
"294","corbipa01",10
"295","cordefr01",16
"296","cormirh01",17
"297","correke01",14
"298","corsiji01",11
"299","cottsne01",11
"300","covelst01",14
"301","coxda01",12
"302","craigro01",12
"303","crainje01",10
"304","cranddo01",11
"305","craneed01",10
"306","crawfst01",10
"307","creekdo01",10
"308","crowdal01",14
"309","cruzju02",12
"310","cuellmi01",15
"311","cuetojo01",16
"312","culpra01",11
"313","culvege01",11
"314","cunnibe01",13
"315","cuppyni01",10
"316","curtijo01",16
"317","daalom01",13
"318","dacqujo01",12
"319","dailyed01",10
"320","dalcabr01",12
"321","daleybu01",11
"322","danfoda01",10
"323","danksjo01",10
"324","darenvi01",10
"325","darliro01",15
"326","darviyu01",11
"327","darwida01",25
"328","daussho01",15
"329","daviscu01",15
"330","davisdi01",10
"331","davisdo02",15
"332","davisma01",18
"333","davisro02",13
"334","davisst02",15
"335","daviswa01",13
"336","dayleke01",12
"337","deandi01",12
"338","dejeami01",13
"339","delarjo01",17
"340","deleojo01",17
"341","delocik01",12
"342","delosva01",10
"343","delucri01",11
"344","dempsry01",18
"345","dennyjo01",14
"346","derripa01",16
"347","deshaji01",13
"348","desseel01",17
"349","detwiro01",17
"350","dickera01",15
"351","dicksmu01",20
"352","diekmja01",15
"353","dierkla01",14
"354","dietrbi01",18
"355","dinnebi01",13
"356","dipinfr01",13
"357","ditmaar01",10
"358","doakbi01",17
"359","dobsojo01",14
"360","dobsopa01",12
"361","dohened01",10
"362","donahre01",14
"363","donohpe01",14
"364","donovbi01",18
"365","donovdi01",15
"366","doolise01",13
"367","dorisha01",12
"368","doteloc01",20
"369","dotsori01",13
"370","douglph01",12
"371","downial01",18
"372","downssc01",16
"373","drabedo01",13
"374","drabomo01",20
"375","dragodi01",14
"376","drakeol01",11
"377","drewska01",10
"378","drysddo01",14
"379","duensbr01",10
"380","duffyda01",11
"381","dugglbi01",10
"382","dukeza01",18
"383","dunnmi01",11
"384","durbich01",15
