"","x","y","eligible","inducted"
"700",100,7,1,0
"701",1,8,1,0
"702",2,8,1,0
"703",3,8,1,0
"704",4,8,1,0
"705",5,8,1,0
"706",6,8,1,0
"707",7,8,1,0
"708",8,8,1,0
"709",9,8,1,0
"710",10,8,1,0
"711",11,8,1,0
"712",12,8,1,0
"713",13,8,1,0
"714",14,8,1,0
"715",15,8,1,0
"716",16,8,1,0
"717",17,8,1,0
"718",18,8,1,0
"719",19,8,1,0
"720",20,8,1,0
"721",21,8,1,0
"722",22,8,1,0
"723",23,8,1,0
"724",24,8,1,0
"725",25,8,1,0
"726",26,8,1,0
"727",27,8,1,0
"728",28,8,1,0
"729",29,8,1,0
"730",30,8,1,0
"731",31,8,1,0
"732",32,8,1,0
"733",33,8,1,0
"734",34,8,1,0
"735",35,8,1,0
"736",36,8,1,0
"737",37,8,1,0
"738",38,8,1,0
"739",39,8,1,0
"740",40,8,1,0
"741",41,8,1,0
"742",42,8,1,0
"743",43,8,1,0
"744",44,8,1,0
"745",45,8,1,0
"746",46,8,1,0
"747",47,8,1,0
"748",48,8,1,0
"749",49,8,1,0
"750",50,8,1,0
"751",51,8,1,0
"752",52,8,1,0
"753",53,8,1,0
"754",54,8,1,0
"755",55,8,1,0
"756",56,8,1,0
"757",57,8,1,0
"758",58,8,1,0
"759",59,8,1,0
"760",60,8,1,0
"761",61,8,1,0
"762",62,8,1,0
"763",63,8,1,0
"764",64,8,1,0
"765",65,8,1,0
"766",66,8,1,0
"767",67,8,1,0
"768",68,8,1,0
"769",69,8,1,0
"770",70,8,1,0
"771",71,8,1,0
"772",72,8,1,0
"773",73,8,1,0
"774",74,8,1,0
"775",75,8,1,0
"776",76,8,1,0
"777",77,8,1,0
"778",78,8,1,0
"779",79,8,1,0
"780",80,8,1,0
"781",81,8,1,0
"782",82,8,1,0
"783",83,8,1,0
"784",84,8,1,0
"785",85,8,1,0
"786",86,8,1,0
"787",87,8,1,0
"788",88,8,1,0
"789",89,8,1,0
"790",90,8,1,0
"791",91,8,1,0
"792",92,8,1,0
"793",93,8,1,0
"794",94,8,1,0
"795",95,8,1,0
"796",96,8,1,0
"797",97,8,1,0
"798",98,8,1,0
"799",99,8,1,0
"800",100,8,1,0
"801",1,9,1,0
"802",2,9,1,0
"803",3,9,1,0
"804",4,9,1,0
"805",5,9,1,0
"806",6,9,1,0
"807",7,9,1,0
"808",8,9,1,0
"809",9,9,1,0
"810",10,9,1,0
"811",11,9,1,0
"812",12,9,1,0
"813",13,9,1,0
"814",14,9,1,0
"815",15,9,1,0
"816",16,9,1,0
"817",17,9,1,0
"818",18,9,1,0
"819",19,9,1,0
"820",20,9,1,0
"821",21,9,1,0
"822",22,9,1,0
"823",23,9,1,0
"824",24,9,1,0
"825",25,9,1,0
"826",26,9,1,0
"827",27,9,1,0
"828",28,9,1,0
"829",29,9,1,0
"830",30,9,1,0
"831",31,9,1,0
"832",32,9,1,0
"833",33,9,1,0
"834",34,9,1,0
"835",35,9,1,0
"836",36,9,1,0
"837",37,9,1,0
"838",38,9,1,0
"839",39,9,1,0
"840",40,9,1,0
"841",41,9,1,0
"842",42,9,1,0
"843",43,9,1,0
"844",44,9,1,0
"845",45,9,1,0
"846",46,9,1,0
"847",47,9,1,0
"848",48,9,1,0
"849",49,9,1,0
"850",50,9,1,0
"851",51,9,1,0
"852",52,9,1,0
"853",53,9,1,0
"854",54,9,1,0
"855",55,9,1,0
"856",56,9,1,0
"857",57,9,1,0
"858",58,9,1,0
"859",59,9,1,0
"860",60,9,1,0
"861",61,9,1,0
"862",62,9,1,0
"863",63,9,1,0
"864",64,9,1,0
"865",65,9,1,0
"866",66,9,1,0
"867",67,9,1,0
"868",68,9,1,0
"869",69,9,1,0
"870",70,9,1,0
"871",71,9,1,0
"872",72,9,1,0
"873",73,9,1,0
"874",74,9,1,0
"875",75,9,1,0
